County,ZIP Code,Total Properties,Total Population,Median Income,Median Property Value,Total Insurer-Initiated Nonrenewals (2015 - 2021),Percent Total Nonrenewals Over Period to Total Properties (2015-2021),Absolute Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Nonrenewals of Total Properties (2021),2015_New,2015_Renewed,2015_Insured-Initiated Nonrenewed,2015_Insurer-Initiated Nonrenewed,2015_ins_owner_nr_ratio,2015_new_ins_nr_ratio,2021_New,2021_Renewed,2021_Insured-Initiated Nonrenewed,2021_Insurer-Initiated Nonrenewed,2021_ins_owner_nr_ratio,2021_new_ins_nr_ratio
Tuolumne,95346,"1,717","1,251","$43,333","$312,500",490,28.54,55,103.77,6.29,53,943,71,53,0.746478873239437,1,95,760,86,108,1.25581395348837,0.87962962962963
Riverside,92596,"13,312","32,256","$37,182","$426,000","7,646",57.44,149,103.47,2.20,1305,5713,930,144,0.154838709677419,9.0625,2065,7594,1324,293,0.221299093655589,7.04778156996587
Ventura,93063,"19,296","56,458","$37,964","$567,500","9,101",47.17,284,102.90,2.90,1521,13200,1203,276,0.229426433915212,5.51086956521739,1852,13119,1369,560,0.409057706355004,3.30714285714286
Placer,96145,"5,935","2,147","$42,755","$666,300","1,558",26.25,130,102.36,4.33,250,2731,216,127,0.587962962962963,1.96850393700787,400,2051,251,257,1.02390438247012,1.55642023346304
Los Angeles,91326,"11,374","36,339","$48,275","$764,300","7,300",64.18,170,101.19,2.97,1208,8857,985,168,0.170558375634518,7.19047619047619,1657,9417,1159,338,0.291630716134599,4.90236686390533
Riverside,92587,"9,082","17,237","$34,568","$386,200","5,343",58.83,200,101.01,4.38,912,5004,668,198,0.296407185628743,4.60606060606061,1249,5112,849,398,0.468786808009423,3.13819095477387
Fresno,93622,"4,883","10,335","$21,118","$170,600",735,15.05,23,100.00,0.94,131,1279,94,23,0.24468085106383,5.69565217391304,274,1309,124,46,0.370967741935484,5.95652173913044
San Diego,91914,"4,491","17,379","$45,290","$665,800","2,944",65.55,56,100.00,2.49,451,3744,373,56,0.150134048257373,8.05357142857143,491,3768,437,112,0.25629290617849,4.38392857142857
Ventura,93060,"8,865","33,773","$26,107","$396,700","2,966",33.46,145,100.00,3.27,619,5582,404,145,0.358910891089109,4.26896551724138,1053,5725,476,290,0.609243697478992,3.63103448275862
Sonoma,95465,"1,577","2,244","$45,689","$769,900",245,15.54,13,100.00,1.65,43,552,29,13,0.448275862068966,3.30769230769231,74,571,38,26,0.68421052631579,2.84615384615385
Siskiyou,96057,"2,971","1,235","$21,860","$206,200",462,15.55,22,100.00,1.48,74,682,47,22,0.468085106382979,3.36363636363636,198,784,82,44,0.536585365853659,4.5
Nevada,95959,"12,234","18,343","$30,876","$442,900","3,695",30.20,194,100.00,3.17,401,6432,400,194,0.485,2.06701030927835,701,5978,709,388,0.547249647390691,1.80670103092784
San Bernardino,91762,"17,329","61,718","$26,572","$380,600","6,957",40.15,173,98.86,2.01,1178,8687,843,175,0.207591933570581,6.73142857142857,2006,10293,1293,348,0.269141531322506,5.76436781609195
Los Angeles,91351,"5,742","32,711","$33,958","$427,400","4,889",85.14,188,97.92,6.62,881,6888,653,192,0.294027565084227,4.58854166666667,1120,6685,721,380,0.527045769764216,2.94736842105263
Riverside,92882,"17,360","73,250","$32,411","$463,600","10,639",61.28,296,97.69,3.45,1826,13041,1412,303,0.214589235127479,6.02640264026403,2132,12890,1570,599,0.381528662420382,3.55926544240401
Placer,95746,"8,777","23,934","$58,553","$765,600","5,609",63.91,157,96.91,3.63,943,6925,755,162,0.214569536423841,5.82098765432099,1071,6972,803,319,0.397260273972603,3.35736677115987
Riverside,92584,"22,279","54,235","$36,197","$372,100","14,412",64.69,318,96.66,2.90,2456,11642,1764,329,0.186507936507937,7.46504559270517,3863,14654,2470,647,0.261943319838057,5.97063369397218
Nevada,96161,"23,320","18,488","$44,732","$604,100","8,320",35.68,411,96.03,3.60,1309,11137,1000,428,0.428,3.05841121495327,1798,10768,1405,839,0.597153024911032,2.1430274135876
San Diego,92061,"1,305","2,660","$27,864","$482,400",502,38.47,20,95.24,3.14,71,505,52,21,0.403846153846154,3.38095238095238,120,483,104,41,0.394230769230769,2.92682926829268
